id,x,y
268,40.749669,73.898453
269,40.752885,73.906006
270,40.756312,73.913333
271,40.756879,73.92074
272,40.752039,73.928781
273,40.748973,73.937243
274,40.747846,73.946
275,40.757552,73.969055
276,40.760167,73.975224
277,40.762862,73.981637
278,40.702147,73.801109
279,40.700486,73.807969
280,40.702566,73.816859
281,40.746554,73.943832
282,40.744065,73.949724
283,40.731352,73.954449
284,40.724635,73.951277
285,40.712792,73.951418
286,40.706092,73.950308
287,40.700377,73.950234
288,40.694568,73.949046
289,40.689627,73.953522
290,40.688873,73.96007
291,40.688089,73.966839
292,40.687119,73.975375
293,40.889248,73.898583
294,40.884667,73.90087
295,40.878856,73.904834
296,40.874561,73.909831
297,40.869444,73.915279
298,40.864621,73.918822
299,40.860531,73.925536
300,40.855225,73.929412
301,40.849505,73.933596
302,40.840556,73.940133
303,40.834041,73.94489
304,40.826551,73.95036
305,40.822008,73.953676
306,40.815581,73.958372
307,40.807722,73.96411
308,40.803967,73.966847
309,40.799446,73.968379
310,40.793919,73.972323
311,40.788644,73.976218
312,40.783934,73.979917
313,40.778453,73.98197
314,40.77344,73.982209
315,40.768247,73.981929
316,40.761728,73.983849
317,40.75529,73.987495
318,40.750373,73.991057
319,40.747215,73.993365
320,40.744081,73.995657
321,40.74104,73.997871
322,40.737826,74.000201
323,40.733422,74.002906
324,40.728251,74.005367
325,40.722854,74.006277
326,40.719318,74.006886
327,40.715478,74.009266
328,40.711835,74.012188
329,40.707513,74.013783
330,40.702068,74.013664
331,40.713051,74.008811
332,40.709416,74.006571
333,40.706821,74.0091
334,40.697466,73.993086
335,40.693219,73.989998
336,40.690545,73.985065
337,40.688246,73.980492
338,40.684359,73.977666
339,40.680829,73.975098
340,40.675235,73.971046
341,40.671987,73.964375
342,40.670682,73.958131
343,40.669847,73.950466
344,40.669399,73.942161
345,40.668897,73.932942
346,40.664717,73.92261
347,40.661453,73.916327
348,40.662549,73.908946
349,40.663515,73.902447
350,40.664635,73.894895
351,40.665449,73.889395
352,40.666235,73.884079
353,40.667883,73.950683
354,40.662742,73.95085
355,40.656652,73.9502
356,40.650843,73.949575
357,40.645098,73.948959
358,40.639967,73.948411
359,40.632836,73.947642
360,40.852462,73.828121
361,40.84681,73.832569
362,40.843863,73.836322
363,40.839892,73.842952
364,40.836488,73.847036
365,40.834255,73.851222
366,40.833226,73.860816
367,40.831509,73.867618
368,40.829521,73.874516
369,40.828584,73.879159
370,40.826525,73.886283
371,40.820948,73.890549
372,40.816104,73.896435
373,40.812118,73.904098
374,40.808719,73.907657
375,40.805368,73.914042
376,40.807566,73.91924
377,40.810476,73.926138
378,40.886037,73.878751
379,40.87975,73.884655
380,40.873412,73.890064
381,40.86776,73.897174
382,40.862803,73.901034
383,40.858407,73.903879
384,40.853453,73.907684
385,40.84848,73.911794
386,40.844434,73.914685
387,40.840075,73.917791
388,40.835537,73.9214
389,40.827994,73.925831
390,40.818375,73.927351
391,40.813224,73.929849
392,40.804138,73.937594
393,40.798629,73.941617
394,40.79502,73.94425
395,40.7906,73.947478
396,40.785672,73.95107
397,40.779492,73.955589
398,40.77362,73.959874
399,40.768141,73.96387
400,40.762526,73.967967
401,40.757107,73.97192
402,40.751776,73.976848
403,40.746081,73.982076
404,40.74307,73.984264
405,40.739864,73.986599
406,40.734673,73.989951
407,40.730054,73.99107
408,40.725915,73.994659
409,40.722301,73.997141
410,40.718803,74.000193
411,40.713065,74.004131
412,40.710368,74.009509
413,40.707557,74.011862
414,40.704817,74.014065
415,40.692404,73.990151
416,40.903125,73.85062
417,40.898379,73.854376
418,40.893193,73.857473
419,40.888022,73.860341
420,40.883895,73.862633
421,40.87785,73.866256
422,40.871356,73.867164
423,40.865462,73.867352
424,40.857192,73.867615
425,40.848828,73.868457
426,40.841894,73.873488
427,40.840295,73.880049
428,40.837288,73.887734
429,40.829993,73.891865
430,40.824073,73.893064
431,40.822181,73.896736
432,40.819585,73.90177
433,40.81649,73.907807
434,40.816109,73.917757
435,40.81841,73.926718
436,40.82388,73.93647
437,40.820421,73.936245
438,40.814229,73.94077
439,40.807754,73.945495
440,40.802098,73.949625
441,40.799075,73.951822
442,40.8883,73.830834
443,40.878663,73.838591
444,40.869526,73.846384
445,40.858985,73.855359
446,40.854364,73.860495
447,40.7596,73.83003
448,40.754622,73.845625
449,40.75173,73.855334
450,40.749865,73.8627
451,40.749145,73.869527
452,40.748408,73.876613
453,40.747659,73.883697
454,40.746848,73.891394
455,40.746325,73.896403
456,40.74563,73.902984
457,40.744149,73.912549
458,40.743132,73.918435
459,40.743781,73.924016
460,40.744587,73.930997
461,40.750582,73.940202
461,40.750582,73.940202
462,40.747023,73.945264
463,40.742216,73.948916
464,40.742626,73.953581
465,40.751431,73.976041
466,40.753821,73.981963
467,40.755477,73.987691
468,40.755983,73.986229
469,40.752769,73.979189
471,40.755882,74.00191
475,40.784318,73.947152
476,40.777891,73.951787
477,40.768799,73.958424
501,40.643748,74.073643
502,40.636949,74.074835
503,40.627915,74.075162
504,40.621319,74.071402
505,40.603117,74.084087
506,40.596612,74.087368
507,40.588849,74.09609
508,40.583591,74.103338
509,40.578965,74.109704
510,40.57348,74.11721
511,40.56511,74.12632
512,40.5564,74.136907
513,40.551231,74.151399
514,40.544601,74.16457
515,40.54046,74.178217
516,40.533674,74.191794
517,40.525507,74.200064
518,40.52241,74.217847
519,40.519631,74.229141
522,40.512764,74.251961
523,40.516578,74.242096
